CommonName,Type,CA,SerialNumber,HourPeriod,CorrectFormatSerialNum,IsTimeValid,IsVerified
cateam.ru,precertificate,TCI ECDSA B1 10-200,19F3FC02E9BAD81A63142AF,8760,true,true,true
*.mechel.com,precertificate,Russian Trusted Sub CA,18CEE79FE69E7E230079745C614,8760,true,true,true
*.mechel.com,precertificate,Russian Trusted Sub CA,18CEE7D39D302F82E483C29C31B,8760,true,true,true
*.osslabs.ru,precertificate,Russian Trusted Sub CA,18CEE7F246B23A5BFAFD68D8879,8760,true,true,true
ar2020.mkb.ru,precertificate,Russian Trusted Sub CA,18CEE8107FF2581ACFB2293A5A3,8760,true,true,true
sr2020.mkb.ru,precertificate,Russian Trusted Sub CA,18CEE82C3EC1DC5ACFB2293A5A3,8760,true,true,true
*.mechel.com,precertificate,Russian Trusted Sub CA,18CEE9AF96E5D9DAB4C7899A34C,8760,true,true,true
viro33.ru,precertificate,Russian Trusted Sub CA,18CEE9DF4498024BD171C865303,8760,true,true,true
*.xn--j1aon9a.xn--p1ai,precertificate,Russian Trusted Sub CA,18CEE9FD2FF521CD0A0E9E17CE0,8760,true,true,true
factoring.ofc.ru,precertificate,Russian Trusted Sub CA,18CEEA18AF38C25C3D2EF35C726,8760,true,true,true
*.xn--e1agatwer.xn--p1ai,precertificate,Russian Trusted Sub CA,18CEEA3710A0C93CAEE2E4F64F6,8760,true,true,true
*.microbe.ru,precertificate,Russian Trusted Sub CA,18CEEA52BEEE655AA39B905CCA9,8760,true,true,true
*.stomat12.ru,precertificate,Russian Trusted Sub CA,18CEEA74320A96D1EC6DC437E92,8760,true,true,true
private.mkb.ru,precertificate,Russian Trusted Sub CA,18CEEA8D7DB031AA9FB2293A5E3,8760,true,true,true
lk-invest.mkb.ru,precertificate,Russian Trusted Sub CA,18CEEAA77D0B66EB6FB2293A5A3,8760,true,true,true
bfl-online.mkb.ru,precertificate,Russian Trusted Sub CA,18CEEB8DB4314BD9DFB2293A563,8760,true,true,true
online.mkb.ru,precertificate,Russian Trusted Sub CA,18CEEBB5DBAF4D7ACFB2293A563,8760,true,true,true
webext.sberins.ru,precertificate,Russian Trusted Sub CA,18CEEBD6FC72E3987D3441A5A3C,8760,true,true,true
mail.sberins.ru,precertificate,Russian Trusted Sub CA,18CEEBD7B7F2E39392B4A1A5A3C,8760,true,true,true
*.meetup.sberbank.ru,precertificate,Russian Trusted Sub CA,18CEEBD8483D66F53B3CE098E74,8760,true,true,true
sip.sberins.ru,precertificate,Russian Trusted Sub CA,18CEEBD8E3A2E395B92481A5A3C,8760,true,true,true
owa.sberins.ru,precertificate,Russian Trusted Sub CA,18CEEBD980B2E39988D481A5A3C,8760,true,true,true
3dsec.sberbank.ru,precertificate,Russian Trusted Sub CA,18CEEBDA326C1A631859CE65E65,8760,true,true,true
node2.vito.sbrf.ru,precertificate,Russian Trusted Sub CA,18CEEBDAC66F8D5B91EF66569AC,8760,true,true,true
*.neuronsk.ru,precertificate,Russian Trusted Sub CA,18CF3CC2E41B2C4E1C0BB1CF6D3,8760,true,true,true
komission.xn--90ab2c.xn--p1ai,precertificate,Russian Trusted Sub CA,18CF3CFF19A25A774847D5AB807,8760,true,true,true
testquik.novikom.ru,precertificate,Russian Trusted Sub CA,18CF3D38FAAD7B43C2AEC4259A4,8760,true,true,true
cbro-t.testonline.sberbank.ru,precertificate,Russian Trusted Sub CA,18CF3F98F0EF849AC06C8647CAC,8760,true,true,true
cobra.sberchat.sberbank.ru,precertificate,Russian Trusted Sub CA,18CF3F9BCDDF849EC22F8FB66AC,8760,true,true,true
dsp-rambler.ru,precertificate,Russian Trusted Sub CA,18CF3F9F649F9A7B76B20BFA4F4,8760,true,true,true
*.digital-assessment.ru,precertificate,Russian Trusted Sub CA,18CF3FA14FD6C70C04B224F7BFD,8760,true,true,true
*.testonline.sberbank.ru,precertificate,Russian Trusted Sub CA,18CF3FA400A394FAC7353BA0689,8760,true,true,true
mapi.pking.sberbank.ru,precertificate,Russian Trusted Sub CA,18CF3FA53D5F8C91C48C87C54AC,8760,true,true,true
ift.spaymentsplus.ru,precertificate,Russian Trusted Sub CA,18CF3FA7C8E1059B53190D5287E,8760,true,true,true
direct-in.sberbank.ru,precertificate,Russian Trusted Sub CA,18CF409079DF82D13F1D41BC29E,8760,true,true,true
*.altag.ru,precertificate,Russian Trusted Sub CA,18CFDBA28BA51414777C417E32D,8760,true,true,true
expe-s-n2sko.sberbank.ru,precertificate,Russian Trusted Sub CA,18CFDBDA6E5B22465940A645091,8760,true,true,true
creator.sber.ru,precertificate,Russian Trusted Sub CA,18CFDBDB03562D4AFB3CE2910C9,8760,true,true,true
guest-wifi.sberbank.ru,precertificate,Russian Trusted Sub CA,18CFDBDC09B3749975DF209F9A2,8760,true,true,true
expe-s-n1up.sberbank.ru,precertificate,Russian Trusted Sub CA,18CFDBDDBF1EE3498980AFCA748,8760,true,true,true
vdi.hw.sberdevices.ru,precertificate,Russian Trusted Sub CA,18CFDBDEF2A70DF1CE025A26D9F,8760,true,true,true
polly.sberbank.ru,precertificate,Russian Trusted Sub CA,18CFDBDFF8AF841940CB02865AC,8760,true,true,true
polly-psi.sberbank.ru,precertificate,Russian Trusted Sub CA,18CFDBE0C48F841940C819A68AC,8760,true,true,true
quiktest.gazprombank.ru,precertificate,Russian Trusted Sub CA,18CFDC4BD7925558EC305486D1D,8760,true,true,true
onlineapi.gpb.ru,precertificate,Russian Trusted Sub CA,18CFDC4C82E46DFCE6C04486D9D,8760,true,true,true
quik.gazprombank.ru,precertificate,Russian Trusted Sub CA,18CFDC4D17525A5197504486D1D,8760,true,true,true
pga.gazprombank.ru,precertificate,Russian Trusted Sub CA,18CFDC4DA5E25CD796204486D1D,8760,true,true,true
*.online.gpb.ru,precertificate,Russian Trusted Sub CA,18CFDC4E4278657596E04486D9D,8760,true,true,true
auth-lkp.a-rnr.ru,precertificate,Russian Trusted Sub CA,18CFDC8F01079A01F3E4AFAFAE6,8760,true,true,true
auth-lkptest2.a-rnr.ru,precertificate,Russian Trusted Sub CA,18CFDC9CDA593631F3E4AFA9AAA,8760,true,true,true
ift.kwapp.spaymentsplus.ru,precertificate,Russian Trusted Sub CA,18CFDCD1AB41059B5D93BB5287E,8760,true,true,true
securepayments.sberbank.ru,precertificate,Russian Trusted Sub CA,18CFDCD2418C9875DCBB22FCD4F,8760,true,true,true
sberegiplanetu.ru,precertificate,Russian Trusted Sub CA,18CFDCD2C39F8B5A15075E6CDA1,8760,true,true,true
*.devops-centre.ru,precertificate,Russian Trusted Sub CA,18D0C5E9E9B0B8BAF07C0FECBB4,8760,true,true,true
*.vestabank.ru,precertificate,Russian Trusted Sub CA,18D0C6650192CB5AFC722EFDA45,8760,true,true,true
*.permedu.ru,precertificate,Russian Trusted Sub CA,18D0C6B3D605D23FC7A54BCF3D0,8760,true,true,true
pay.alfabank.ru,precertificate,Russian Trusted Sub CA,18D0C6F8DB8C473DBB095944A7E,8760,true,true,true
*.omspk.ru,precertificate,Russian Trusted Sub CA,18D0C7518681098A6C334AA30E5,8760,true,true,true
*.okvd48.ru,precertificate,Russian Trusted Sub CA,18D0C789928DA59E138154AA00F,8760,true,true,true
*.cdo-first.ru,precertificate,Russian Trusted Sub CA,18D0CA628495056A9670019D6C9,8760,true,true,true
*.25.rospotrebnadzor.ru,precertificate,Russian Trusted Sub CA,18D0CDDE84014A88C22C39331C2,8760,true,true,true
*.tcmk74.ru,precertificate,Russian Trusted Sub CA,18D0CE36474FF00B715463274FC,8760,true,true,true
*.rostovexp.ru,precertificate,Russian Trusted Sub CA,18D0CE6F5BD09A129B7E55337F3,8760,true,true,true
*.ottrade.ru,precertificate,Russian Trusted Sub CA,18D0CEAC931DAC44146E37FE503,8760,true,true,true
*.spbexp.ru,precertificate,Russian Trusted Sub CA,18D0CFE186283BC37FD5C0B7CED,8760,true,true,true
cib.bnpparibasbank.ru,precertificate,Russian Trusted Sub CA,18D0D06FBA7FEE0A9EB744EC54C,8760,true,true,true
mbrb.if.test.vtb.ru,precertificate,Russian Trusted Sub CA,18D0D09CF472567C48DD4227307,8760,true,true,true
*.amicon.ru,precertificate,Russian Trusted Sub CA,18D0D0CAF7F19BF08697EA7A55D,8760,true,true,true
w-self.open.ru,precertificate,Russian Trusted Sub CA,18D0D0FBAE98C2573AA964EC726,8760,true,true,true
*.axiomatika.ru,precertificate,Russian Trusted Sub CA,18D0D127C99D5B4AF0770F1E2C4,8760,true,true,true
*.xn----7sb7akeedqd.xn--p1ai,precertificate,Russian Trusted Sub CA,18D0D887DE2C3431B77E4CB03B7,8760,true,true,true
*.xn--80aaafp0bqweeid1o.xn--p1ai,precertificate,Russian Trusted Sub CA,18D0D889A16C36359E44E2102B7,8760,true,true,true
app-dib002.open.ru,precertificate,Russian Trusted Sub CA,18D0D8CB5538C25739672D4C626,8760,true,true,true
app-mobiron003.open.ru,precertificate,Russian Trusted Sub CA,18D0D8CC07A8C25734CC168DF26,8760,true,true,true
app-dib001.open.ru,precertificate,Russian Trusted Sub CA,18D0D8CC9678C25733271D4C626,8760,true,true,true
yenisey-gis.ru,precertificate,Russian Trusted Sub CA,18D0D9154D07E545D2078F93AED,8760,true,true,true
eniseygis.ru,precertificate,Russian Trusted Sub CA,18D0D91602B7E545D207867DBD5,8760,true,true,true
yeniseigis.ru,precertificate,Russian Trusted Sub CA,18D0D916D447E545D2078DF92C3,8760,true,true,true
eniseigis.ru,precertificate,Russian Trusted Sub CA,18D0D9176E67E545D20785FD2D5,8760,true,true,true
enisey-gis.ru,precertificate,Russian Trusted Sub CA,18D0D9182147E545D2078F9BBC1,8760,true,true,true
