Cert1,SerialNumber1,Type1,Cert2,SerialNumber2,Type2,Difference
*.psbank.ru,1804C9F59E2C99D80518455141B,precertificate,*.payment.ru,1804D03D23DC9E52F128455141B,precertificate,23
*.payment.ru,1804D03D23DC9E52F128455141B,precertificate,business.psbank.ru,1804D0CBB82C91D7DF39C55141B,precertificate,21
business.psbank.ru,1804D0CBB82C91D7DF39C55141B,precertificate,*.ugmk-telecom.ru,1804D151C2E032D1BEDA33FC2E3,precertificate,21
*.ugmk-telecom.ru,1804D151C2E032D1BEDA33FC2E3,precertificate,exchange.bspb.ru,1804D1BDAA24320125AC9535442,precertificate,21
exchange.bspb.ru,1804D1BDAA24320125AC9535442,precertificate,23.ctlog.digital.gov.ru,18050B04A70344AB8631443ADD8,precertificate,25
23.ctlog.digital.gov.ru,18050B04A70344AB8631443ADD8,precertificate,22.ctlog.digital.gov.ru,18050B06123344AB863140EADD8,precertificate,20
22.ctlog.digital.gov.ru,18050B06123344AB863140EADD8,precertificate,*.acstest.bspb.ru,180514A90BC9FB806D0276334A6,precertificate,22
*.acstest.bspb.ru,180514A90BC9FB806D0276334A6,precertificate,mpitest.bspb.ru,180515A4D9A9FB806D02783886A,precertificate,23
mpitest.bspb.ru,180515A4D9A9FB806D02783886A,precertificate,mpitest.bspb.ru,1805FD14EAC9FB806D02783886A,precertificate,24
mpitest.bspb.ru,1805FD14EAC9FB806D02783886A,precertificate,response.sas-sendsay.bspb.ru,1805FD1B2587EBE06D027A9A3BF,precertificate,22
response.sas-sendsay.bspb.ru,1805FD1B2587EBE06D027A9A3BF,precertificate,*.csmoisport.ru,1805FF771B944040E024C1EAD9D,precertificate,22
*.csmoisport.ru,1805FF771B944040E024C1EAD9D,precertificate,mccm.bspb.ru,18060078B339FB806D027A9565E,precertificate,21
mccm.bspb.ru,18060078B339FB806D027A9565E,precertificate,sign.beeline.ru,18060112D5B07B4AF8FB802EA09,precertificate,21
sign.beeline.ru,18060112D5B07B4AF8FB802EA09,precertificate,id-ift.sber.ru,18060259824F8C9BCFA69CD65AC,precertificate,23
