CommonName,CA,SerialNumber,LogName1,LogYear1,Type1,LogTime1,LogName2,LogYear2,Type2,LogTime2
nuc.voskhod.ru,Russian Trusted Sub CA,3646815475CE11EFB7CC0242AC120002,MDC,2025,precert,2024-09-18 14:56:40.656,MDC,2024,precert,2024-09-18 14:56:40.656
sr-rsk-032.corp.gidroogk.com,Russian Trusted Sub CA,68E04BF8647711EF99660242AC130004,VK,2024,precert,2024-08-27 13:22:29.597,Yandex,2024,precert,2024-08-27 13:22:29.597
hacki.online,Russian Trusted Sub CA,521D8FA73FB11EF9EDB0242AC130004,MDC,2025,precert,2024-09-16 07:12:23.220,MDC,2024,precert,2024-09-16 07:12:23.220
xn----7sbfzhwgabgibqigp4e4c.xn--p1ai,Russian Trusted Sub CA,EA42DB87C1D11EF97D30242AC120002,MDC,2025,precert,2024-09-26 15:36:11.366,MDC,2024,precert,2024-09-26 15:36:11.366
sed.reggarant.ru,Russian Trusted Sub CA,52B05B073FB11EFB10D0242AC130004,MDC,2025,precert,2024-09-16 07:12:23.281,MDC,2024,precert,2024-09-16 07:12:23.281
centrkulturi.ru,Russian Trusted Sub CA,4BBB1867F0611EF9A8B0242AC120002,MDC,2024,precert,2024-09-30 08:28:49.810,VK,2024,precert,2024-09-30 08:28:49.810
oceao.ru,Russian Trusted Sub CA,9B62B38E78C11EE8DE40242AC1D0003,VK,2024,precert,2024-03-21 14:05:13.994,Yandex,2024,precert,2024-03-21 14:05:13.994
gubin.systems,Russian Trusted Sub CA,99E736D27C8F11EF9D8B0242AC120002,MDC,2025,precert,2024-09-27 05:16:07.649,MDC,2024,precert,2024-09-27 05:16:07.649
wvro.ru,Russian Trusted Sub CA,AFD2C29C7C9C11EF97D30242AC120002,MDC,2025,precert,2024-09-27 06:49:47.866,MDC,2024,precert,2024-09-27 06:49:47.866
nuc.voskhod.ru,Russian Trusted Sub CA,501B7CACAF8A11EEACF30242AC1D0003,MDC,2024,precert,2024-01-10 07:31:47.967,VK,2024,precert,2024-01-10 07:31:47.967
bondarenkoia.ru,Russian Trusted Sub CA,9D2FA5BC0D7311EFB4670242AC1D0003,MDC,2024,precert,2024-05-08 19:46:08.192,VK,2024,precert,2024-05-08 19:46:08.192
nuc.voskhod.ru,Russian Trusted Sub CA,4F5A24F8816211EF81560242AC120002,MDC,2025,precert,2024-10-03 08:34:31.037,MDC,2024,precert,2024-10-03 08:34:31.037
senika-shop.ru,Russian Trusted Sub CA,B7B5D1E4F74411EE902D0242AC1D0003,MDC,2024,precert,2024-04-10 14:15:00.771,VK,2024,precert,2024-04-10 14:15:00.771
sberradar.vsrobotics.ru,Russian Trusted Sub CA,D73CC5EC86DA11EF96870242AC120002,Yandex,2025,precert,2024-10-10 07:39:54.440,VK,2025,precert,2024-10-10 07:39:54.440
socit.ru,Russian Trusted Sub CA,532453C73FB11EFA7260242AC130004,MDC,2025,precert,2024-09-16 07:12:23.348,MDC,2024,precert,2024-09-16 07:12:23.348
internal.dev.cbg.ru,Russian Trusted Sub CA,2700C8BE6C3A11EF9E8C0242AC130004,MDC,2025,precert,2024-09-06 10:24:09.052,MDC,2024,precert,2024-09-06 10:24:09.052
hoteltofms.ru,Russian Trusted Sub CA,85CDDC06766711EF84570242AC120002,MDC,2025,precert,2024-09-19 09:14:07.078,MDC,2024,precert,2024-09-19 09:14:07.078
hoteltofms.ru,Russian Trusted Sub CA,85CDDC06766711EF84570242AC120002,MDC,2025,precert,2024-09-19 09:14:07.078,MDC,2024,precert,2024-09-19 09:14:07.078
hoteltofms.ru,Russian Trusted Sub CA,85CDDC06766711EF84570242AC120002,VK,2024,precert,2024-09-19 09:14:07.110,Yandex,2024,precert,2024-09-19 09:14:07.110
xraven.ru,Russian Trusted Sub CA,965C3F44740611EF9EDB0242AC130004,MDC,2025,precert,2024-09-16 08:35:11.337,MDC,2024,precert,2024-09-16 08:35:11.337
1elecsnet.ru,Russian Trusted Sub CA,4B2FE256652811EFA01F0242AC130004,MDC,2025,precert,2024-08-28 10:28:40.672,MDC,2024,precert,2024-08-28 10:28:40.672
blt.su,Russian Trusted Sub CA,60A2F5A07FAA11EFABC70242AC120002,MDC,2025,precert,2024-10-01 04:05:21.472,MDC,2024,precert,2024-10-01 04:05:21.472
www.wzor.space,Russian Trusted Sub CA,B230DD6C1D8D11EFA4230242AC1D0003,MDC,2024,precert,2024-05-29 07:33:08.957,VK,2024,precert,2024-05-29 07:33:08.957
nuc.voskhod.ru,Russian Trusted Sub CA,B5C93574AEE211EEA7BB0242AC1D0003,MDC,2024,precert,2024-01-09 08:44:06.379,VK,2024,precert,2024-01-09 08:44:06.379
biopolymers.pro,Russian Trusted Sub CA,AFAA0DBE7D8411EFA3B70242AC120002,MDC,2025,precert,2024-09-28 10:30:30.853,MDC,2024,precert,2024-09-28 10:30:30.853
54.rospotrebnadzor.ru,Russian Trusted Sub CA,F2D93830741011EF9EDB0242AC130004,MDC,2025,precert,2024-09-16 09:49:21.475,MDC,2024,precert,2024-09-16 09:49:21.475
gosttest.zn9.ru,Russian Trusted Sub CA,1A2F88A75D111EFAB230242AC120002,MDC,2025,precert,2024-09-18 15:16:40.829,MDC,2024,precert,2024-09-18 15:16:40.829
