CommonName,Type,CA,SerialNumber,LogName,LogYear,ExpireTime,LogTime,Difference
melnoff.com,precert,Russian Trusted Sub CA,6D38792A290111EF828F0242AC1D0003,MDC,2025,2024-09-10 21:19:17.000,2024-06-12 21:14:38.447,2690h40m43s
nuc.voskhod.ru,precert,Russian Trusted Sub CA,B518F3CA2C8311EFB3D80242AC1D0003,MDC,2025,2024-09-15 08:29:26.000,2024-06-17 08:24:41.083,2583h30m34s
st13.pozhvanov.com,precert,Russian Trusted Sub CA,A830DC942C9D11EF8DE40242AC1D0003,MDC,2025,2024-09-15 11:35:11.000,2024-06-17 11:30:26.166,2580h24m49s
z3.pozhvanov.com,precert,Russian Trusted Sub CA,9A25FEB02CA011EFA89A0242AC1D0003,MDC,2025,2024-09-15 11:56:16.000,2024-06-17 11:51:31.079,2580h3m44s
cpprkam.ru,precert,Russian Trusted Sub CA,275FFFEC2D2D11EFBD390242AC1D0003,MDC,2025,2024-09-16 04:42:22.000,2024-06-18 04:37:36.671,2563h17m38s
mathclass1679.online,precert,Russian Trusted Sub CA,D96192D02D3E11EFAFC70242AC1D0003,MDC,2025,2024-09-16 06:49:03.000,2024-06-18 06:44:16.629,2561h10m57s
nuc.voskhod.ru,precert,Russian Trusted Sub CA,F44DF62A2D6F11EF96EC0242AC1D0003,MDC,2025,2024-09-16 12:40:33.000,2024-06-18 12:35:46.820,2555h19m27s
nuc.voskhod.ru,precert,Russian Trusted Sub CA,84C3C100300711EFBAE30242AC1D0003,MDC,2025,2024-09-19 19:50:32.000,2024-06-21 19:45:41.072,2476h9m28s
newstep.qtom.ru,precert,Russian Trusted Sub CA,610DEBB4301111EFBFE00242AC1D0003,MDC,2025,2024-09-19 21:01:07.000,2024-06-21 20:56:16.057,2474h58m53s
crowdproj.ru,precert,Russian Trusted Sub CA,D7AE3072316411EF97100242AC1D0003,MDC,2025,2024-09-21 13:31:05.000,2024-06-23 13:26:12.235,2434h28m55s
xn----ctbktfr2e.xn--p1ai,precert,Russian Trusted Sub CA,3ACB6D0C324911EFA0E50242AC1D0003,MDC,2025,2024-09-22 16:45:57.000,2024-06-24 16:41:02.230,2407h14m3s
xn--e1afhfhde1a.xn--p1ai,precert,Russian Trusted Sub CA,573819AE324E11EF8F1E0242AC1D0003,MDC,2025,2024-09-22 17:22:32.000,2024-06-24 17:17:37.387,2406h37m28s
nuc.voskhod.ru,precert,Russian Trusted Sub CA,5A5099DE384F11EF99500242AC1D0003,MDC,2025,2024-09-30 08:44:54.000,2024-07-02 08:39:48.813,2223h15m6s
nuc.voskhod.ru,precert,Russian Trusted Sub CA,F137B752391611EF8BA00242AC1D0003,MDC,2025,2024-10-01 08:33:37.000,2024-07-03 08:33:34.871,2199h26m23s
tmgservices.mikata.ru,precert,Russian Trusted Sub CA,D883A5FC39E011EF828E0242AC1D0003,MDC,2025,2024-10-02 08:38:53.000,2024-07-04 08:38:50.589,2175h21m7s
app3.tverfin.ru,precert,Russian Trusted Sub CA,F980F9EE3AC111EF86610242AC1D0003,MDC,2025,2024-10-03 11:30:26.000,2024-07-05 11:30:21.388,2148h29m34s
